Parameter_Type,Parameter_Value,MAE,RMSE,R2
Learning_Rate,0.001,171.9277119393718,298.1019924378368,-36.97128364484586
Learning_Rate,0.005,49.36742942053676,95.70082087210572,85.21465700685053
Learning_Rate,0.01,21.3943520324558,40.04008811058892,96.51829909735935
Batch_Size,32,17.856074155277373,33.64665364110005,97.27041511067303
Batch_Size,64,17.56981369603787,33.08488775185631,97.39894914641111
Batch_Size,128,49.36742942053676,95.70082087210572,85.21465700685053
Physics_Lambda,0.01,45.262337490771614,89.14553195225339,87.68642802960107
Physics_Lambda,0.1,56.53473279633626,105.73029192066919,73.60719091439019
Physics_Lambda,1.0,49.36742942053676,95.70082087210572,85.21465700685053
Physics_Lambda,10.0,56.61569726962466,105.7385007138642,73.62712122394635
