Time,CH1,CH2,CH3,CH4,Wavelength,delta_lambda_pm
0.199998,1,0,0,0,1524.22429,0.0
0.399996,1,0,0,0,1524.2224,-1.890000000003056
0.599994,1,0,0,0,1524.2224,-1.890000000003056
0.799992,1,0,0,0,1524.2224,-1.890000000003056
0.99999,1,0,0,0,1524.22051,-3.780000000006112
1.199988,1,0,0,0,1524.2224,-1.890000000003056
1.399986,1,0,0,0,1524.22278,-1.510000000052969
1.599983,1,0,0,0,1524.2224,-1.890000000003056
1.799981,1,0,0,0,1524.2224,-1.890000000003056
1.999979,1,0,0,0,1524.22429,0.0
2.199977,1,0,0,0,1524.22467,0.37999999995008693
2.399975,1,0,0,0,1524.22051,-3.780000000006112
2.599973,1,0,0,0,1524.22278,-1.510000000052969
2.799971,1,0,0,0,1524.22467,0.37999999995008693
2.999969,1,0,0,0,1524.22203,-2.260000000205764
3.199967,1,0,0,0,1524.22108,-3.2100000000809814
3.399965,1,0,0,0,1524.22203,-2.260000000205764
3.599963,1,0,0,0,1524.22429,0.0
3.799961,1,0,0,0,1524.22278,-1.510000000052969
3.999959,1,0,0,0,1524.22278,-1.510000000052969
4.199956,1,0,0,0,1524.22467,0.37999999995008693
4.399954,1,0,0,0,1524.22618,1.890000000003056
4.599952,1,0,0,0,1524.2275,3.2099999998536077
4.79995,1,0,0,0,1524.22278,-1.510000000052969
4.999948,1,0,0,0,1524.22278,-1.510000000052969
5.199946,1,0,0,0,1524.22051,-3.780000000006112
5.399944,1,0,0,0,1524.22561,1.3199999998505518
5.599942,1,0,0,0,1524.22467,0.37999999995008693
5.79994,1,0,0,0,1524.22429,0.0
5.999938,1,0,0,0,1524.22108,-3.2100000000809814
6.199936,1,0,0,0,1524.2224,-1.890000000003056
6.399934,1,0,0,0,1524.22051,-3.780000000006112
6.599932,1,0,0,0,1524.22202,-2.2700000001805165
6.79993,1,0,0,0,1524.22051,-3.780000000006112
6.999928,1,0,0,0,1524.2224,-1.890000000003056
7.199925,1,0,0,0,1524.2224,-1.890000000003056
7.399923,1,0,0,0,1524.22013,-4.160000000183572
7.599921,1,0,0,0,1524.22051,-3.780000000006112
7.799919,1,0,0,0,1524.21825,-6.040000000211876
7.999917,1,0,0,0,1524.22051,-3.780000000006112
8.199915,1,0,0,0,1524.2173,-6.990000000087093
8.399913,1,0,0,0,1524.22051,-3.780000000006112
8.599911,1,0,0,0,1524.21692,-7.37000000003718
8.799909,1,0,0,0,1524.21919,-5.100000000084037
8.999907,1,0,0,0,1524.2173,-6.990000000087093
9.199905,1,0,0,0,1524.2173,-6.990000000087093
9.399903,1,0,0,0,1524.21881,-5.480000000034124
9.5999,1,0,0,0,1524.21787,-6.420000000161963
9.799899,1,0,0,0,1524.21731,-6.980000000112341
9.999896,1,0,0,0,1524.21731,-6.980000000112341
10.199894,1,0,0,0,1524.21561,-8.680000000140353
10.399892,1,0,0,0,1524.21504,-9.250000000065484
10.59989,1,0,0,0,1524.21655,-7.740000000012515
10.799888,1,0,0,0,1524.21504,-9.250000000065484
10.999886,1,0,0,0,1524.21825,-6.040000000211876
11.199884,1,0,0,0,1524.21693,-7.360000000062428
11.399882,1,0,0,0,1524.2156,-8.690000000115106
11.59988,1,0,0,0,1524.21655,-7.740000000012515
11.799878,1,0,0,0,1524.21693,-7.360000000062428
11.999876,1,0,0,0,1524.21334,-10.950000000093496
12.199874,1,0,0,0,1524.21561,-8.680000000140353
12.399872,1,0,0,0,1524.21598,-8.310000000165019
12.599869,1,0,0,0,1524.21428,-10.010000000193031
12.799867,1,0,0,0,1524.21504,-9.250000000065484
12.999865,1,0,0,0,1524.21561,-8.680000000140353
13.199863,1,0,0,0,1524.21334,-10.950000000093496
13.399861,1,0,0,0,1524.21334,-10.950000000093496
13.599859,1,0,0,0,1524.21183,-12.460000000146465
13.799857,1,0,0,0,1524.21372,-10.57000000014341
13.999855,1,0,0,0,1524.21599,-8.300000000190266
14.199853,1,0,0,0,1524.21467,-9.620000000040818
14.399851,1,0,0,0,1524.21504,-9.250000000065484
14.599849,1,0,0,0,1524.21561,-8.680000000140353
14.799846,1,0,0,0,1524.2124,-11.890000000221335
14.999844,1,0,0,0,1524.21429,-10.000000000218279
15.199842,1,0,0,0,1524.21334,-10.950000000093496
15.39984,1,0,0,0,1524.21183,-12.460000000146465
15.599838,1,0,0,0,1524.21334,-10.950000000093496
15.799836,1,0,0,0,1524.21334,-10.950000000093496
15.999834,1,0,0,0,1524.21334,-10.950000000093496
16.199832,1,0,0,0,1524.21504,-9.250000000065484
16.39983,1,0,0,0,1524.21334,-10.950000000093496
16.599828,1,0,0,0,1524.21655,-7.740000000012515
16.799826,1,0,0,0,1524.21561,-8.680000000140353
16.999824,1,0,0,0,1524.21183,-12.460000000146465
17.199822,1,0,0,0,1524.21334,-10.950000000093496
17.39982,1,0,0,0,1524.21372,-10.57000000014341
17.599818,1,0,0,0,1524.21504,-9.250000000065484
17.799815,1,0,0,0,1524.21504,-9.250000000065484
17.999813,1,0,0,0,1524.21504,-9.250000000065484
18.199811,1,0,0,0,1524.21145,-12.840000000096552
18.399809,1,0,0,0,1524.21504,-9.250000000065484
18.599807,1,0,0,0,1524.21466,-9.63000000001557
18.799805,1,0,0,0,1524.21372,-10.57000000014341
18.999803,1,0,0,0,1524.21145,-12.840000000096552
19.199801,1,0,0,0,1524.21655,-7.740000000012515
19.399799,1,0,0,0,1524.21504,-9.250000000065484
19.599797,1,0,0,0,1524.2156,-8.690000000115106
19.799795,1,0,0,0,1524.21598,-8.310000000165019
19.999793,1,0,0,0,1524.21504,-9.250000000065484
20.19979,1,0,0,0,1524.21334,-10.950000000093496
20.399788,1,0,0,0,1524.21429,-10.000000000218279
20.599787,1,0,0,0,1524.21372,-10.57000000014341
20.799784,1,0,0,0,1524.21334,-10.950000000093496
20.999782,1,0,0,0,1524.21693,-7.360000000062428
21.19978,1,0,0,0,1524.2192,-5.090000000109285
21.399778,1,0,0,0,1524.21372,-10.57000000014341
21.599776,1,0,0,0,1524.21372,-10.57000000014341
21.799774,1,0,0,0,1524.21429,-10.000000000218279
21.999772,1,0,0,0,1524.21504,-9.250000000065484
22.19977,1,0,0,0,1524.21429,-10.000000000218279
22.399768,1,0,0,0,1524.21561,-8.680000000140353
22.599766,1,0,0,0,1524.21372,-10.57000000014341
22.799763,1,0,0,0,1524.21561,-8.680000000140353
22.999761,1,0,0,0,1524.21504,-9.250000000065484
23.199759,1,0,0,0,1524.21561,-8.680000000140353
23.399757,1,0,0,0,1524.21466,-9.63000000001557
23.599755,1,0,0,0,1524.21504,-9.250000000065484
23.799753,1,0,0,0,1524.21561,-8.680000000140353
23.999751,1,0,0,0,1524.21561,-8.680000000140353
24.199749,1,0,0,0,1524.21599,-8.300000000190266
24.399747,1,0,0,0,1524.21467,-9.620000000040818
24.599745,1,0,0,0,1524.21599,-8.300000000190266
24.799743,1,0,0,0,1524.21561,-8.680000000140353
24.999741,1,0,0,0,1524.21655,-7.740000000012515
25.199739,1,0,0,0,1524.21466,-9.63000000001557
25.399737,1,0,0,0,1524.21372,-10.57000000014341
25.599735,1,0,0,0,1524.21561,-8.680000000140353
25.799732,1,0,0,0,1524.21429,-10.000000000218279
25.99973,1,0,0,0,1524.21693,-7.360000000062428
26.199728,1,0,0,0,1524.21655,-7.740000000012515
26.399726,1,0,0,0,1524.21693,-7.360000000062428
26.599724,1,0,0,0,1524.21504,-9.250000000065484
26.799722,1,0,0,0,1524.21561,-8.680000000140353
26.99972,1,0,0,0,1524.21599,-8.300000000190266
27.199718,1,0,0,0,1524.21693,-7.360000000062428
27.399716,1,0,0,0,1524.21504,-9.250000000065484
27.599714,1,0,0,0,1524.21561,-8.680000000140353
27.799712,1,0,0,0,1524.21561,-8.680000000140353
27.99971,1,0,0,0,1524.21504,-9.250000000065484
28.199708,1,0,0,0,1524.21504,-9.250000000065484
28.399705,1,0,0,0,1524.21372,-10.57000000014341
28.599703,1,0,0,0,1524.21466,-9.63000000001557
28.799701,1,0,0,0,1524.21334,-10.950000000093496
28.999699,1,0,0,0,1524.21372,-10.57000000014341
