Time,CH1,CH2,CH3,CH4,Wavelength,delta_lambda_pm
0.199998,1,0,0,0,1524.60998,0.0
0.399996,1,0,0,0,1524.60847,-1.510000000052969
0.599994,1,0,0,0,1524.60809,-1.890000000003056
0.799991,1,0,0,0,1524.60809,-1.890000000003056
0.999989,1,0,0,0,1524.60998,0.0
1.199987,1,0,0,0,1524.60998,0.0
1.399985,1,0,0,0,1524.60809,-1.890000000003056
1.599983,1,0,0,0,1524.60903,-0.9499999998752173
1.799981,1,0,0,0,1524.6062,-3.780000000006112
1.999979,1,0,0,0,1524.60846,-1.5200000000277214
2.199976,1,0,0,0,1524.60998,0.0
2.399975,1,0,0,0,1524.60998,0.0
2.599972,1,0,0,0,1524.6062,-3.780000000006112
2.79997,1,0,0,0,1524.60998,0.0
2.999968,1,0,0,0,1524.60998,0.0
3.199966,1,0,0,0,1524.60846,-1.5200000000277214
3.399964,1,0,0,0,1524.60808,-1.8999999999778083
3.599961,1,0,0,0,1524.60846,-1.5200000000277214
3.79996,1,0,0,0,1524.60487,-5.11000000005879
3.999957,1,0,0,0,1524.60846,-1.5200000000277214
4.199955,1,0,0,0,1524.61035,0.3699999999753345
4.399953,1,0,0,0,1524.60808,-1.8999999999778083
4.599951,1,0,0,0,1524.60846,-1.5200000000277214
4.799948,1,0,0,0,1524.60846,-1.5200000000277214
4.999947,1,0,0,0,1524.60808,-1.8999999999778083
5.199944,1,0,0,0,1524.60714,-2.8399999998782732
5.399942,1,0,0,0,1524.60808,-1.8999999999778083
5.599941,1,0,0,0,1524.60808,-1.8999999999778083
5.799938,1,0,0,0,1524.60619,-3.7899999999808642
5.999936,1,0,0,0,1524.60997,-0.009999999974752427
6.199934,1,0,0,0,1524.60676,-3.220000000055734
6.399931,1,0,0,0,1524.60846,-1.5200000000277214
6.599929,1,0,0,0,1524.60997,-0.009999999974752427
6.799927,1,0,0,0,1524.60846,-1.5200000000277214
6.999925,1,0,0,0,1524.60997,-0.009999999974752427
7.199923,1,0,0,0,1524.60619,-3.7899999999808642
7.399921,1,0,0,0,1524.60997,-0.009999999974752427
7.599919,1,0,0,0,1524.60808,-1.8999999999778083
7.799917,1,0,0,0,1524.60941,-0.5699999999251304
7.999914,1,0,0,0,1524.60676,-3.220000000055734
8.199912,1,0,0,0,1524.60997,-0.009999999974752427
8.39991,1,0,0,0,1524.60525,-4.729999999881329
8.599908,1,0,0,0,1524.60619,-3.7899999999808642
8.799906,1,0,0,0,1524.61035,0.3699999999753345
8.999904,1,0,0,0,1524.61035,0.3699999999753345
9.199902,1,0,0,0,1524.60997,-0.009999999974752427
9.399899,1,0,0,0,1524.60941,-0.5699999999251304
