Time,CH1,CH2,CH3,CH4,Wavelength,delta_lambda_pm
0.199997,1,0,0,0,1523.66538,0.0
0.399995,1,0,0,0,1523.66349,-1.890000000003056
0.599993,1,0,0,0,1523.66349,-1.890000000003056
0.799991,1,0,0,0,1523.66726,1.8800000000283035
0.999989,1,0,0,0,1523.66726,1.8800000000283035
1.199987,1,0,0,0,1523.66368,-1.6999999998006388
1.399985,1,0,0,0,1523.66368,-1.6999999998006388
1.599983,1,0,0,0,1523.66368,-1.6999999998006388
1.799981,1,0,0,0,1523.66368,-1.6999999998006388
1.999979,1,0,0,0,1523.66368,-1.6999999998006388
2.199977,1,0,0,0,1523.66349,-1.890000000003056
2.399974,1,0,0,0,1523.66726,1.8800000000283035
2.599972,1,0,0,0,1523.66556,0.18000000000029104
2.79997,1,0,0,0,1523.66537,-0.009999999974752427
2.999968,1,0,0,0,1523.66537,-0.009999999974752427
3.199966,1,0,0,0,1523.66537,-0.009999999974752427
3.399964,1,0,0,0,1523.66556,0.18000000000029104
3.599962,1,0,0,0,1523.66367,-1.7100000000027649
3.79996,1,0,0,0,1523.66556,0.18000000000029104
3.999958,1,0,0,0,1523.66556,0.18000000000029104
4.199956,1,0,0,0,1523.66367,-1.7100000000027649
4.399954,1,0,0,0,1523.66537,-0.009999999974752427
4.599951,1,0,0,0,1523.66726,1.8800000000283035
4.799949,1,0,0,0,1523.66556,0.18000000000029104
4.999947,1,0,0,0,1523.66556,0.18000000000029104
5.199945,1,0,0,0,1523.66537,-0.009999999974752427
5.399943,1,0,0,0,1523.66556,0.18000000000029104
5.599941,1,0,0,0,1523.66367,-1.7100000000027649
5.799939,1,0,0,0,1523.66556,0.18000000000029104
5.999937,1,0,0,0,1523.66349,-1.890000000003056
6.199935,1,0,0,0,1523.66349,-1.890000000003056
6.399932,1,0,0,0,1523.66537,-0.009999999974752427
6.599931,1,0,0,0,1523.66368,-1.6999999998006388
6.799928,1,0,0,0,1523.66537,-0.009999999974752427
6.999926,1,0,0,0,1523.66349,-1.890000000003056
7.199924,1,0,0,0,1523.66368,-1.6999999998006388
7.399922,1,0,0,0,1523.66556,0.18000000000029104
7.59992,1,0,0,0,1523.66556,0.18000000000029104
7.799918,1,0,0,0,1523.66348,-1.8999999999778083
7.999916,1,0,0,0,1523.66367,-1.7100000000027649
8.199914,1,0,0,0,1523.66537,-0.009999999974752427
8.399912,1,0,0,0,1523.66556,0.18000000000029104
8.59991,1,0,0,0,1523.66556,0.18000000000029104
8.799907,1,0,0,0,1523.66556,0.18000000000029104
8.999905,1,0,0,0,1523.66556,0.18000000000029104
9.199903,1,0,0,0,1523.66367,-1.7100000000027649
9.399901,1,0,0,0,1523.66367,-1.7100000000027649
9.599899,1,0,0,0,1523.66367,-1.7100000000027649
9.799897,1,0,0,0,1523.66556,0.18000000000029104
9.999895,1,0,0,0,1523.66556,0.18000000000029104
10.199893,1,0,0,0,1523.66556,0.18000000000029104
10.399891,1,0,0,0,1523.66367,-1.7100000000027649
10.599889,1,0,0,0,1523.66537,-0.009999999974752427
10.799886,1,0,0,0,1523.66367,-1.7100000000027649
10.999884,1,0,0,0,1523.66556,0.18000000000029104
11.199882,1,0,0,0,1523.66726,1.8800000000283035
11.39988,1,0,0,0,1523.66348,-1.8999999999778083
11.599878,1,0,0,0,1523.66556,0.18000000000029104
11.799876,1,0,0,0,1523.66726,1.8800000000283035
11.999874,1,0,0,0,1523.66556,0.18000000000029104
12.199872,1,0,0,0,1523.66556,0.18000000000029104
12.39987,1,0,0,0,1523.66556,0.18000000000029104
12.599868,1,0,0,0,1523.66556,0.18000000000029104
12.799865,1,0,0,0,1523.66537,-0.009999999974752427
12.999863,1,0,0,0,1523.66556,0.18000000000029104
13.199861,1,0,0,0,1523.66537,-0.009999999974752427
13.399859,1,0,0,0,1523.66367,-1.7100000000027649
13.599857,1,0,0,0,1523.66367,-1.7100000000027649
13.799855,1,0,0,0,1523.66556,0.18000000000029104
13.999853,1,0,0,0,1523.66726,1.8800000000283035
14.199851,1,0,0,0,1523.66556,0.18000000000029104
14.399849,1,0,0,0,1523.66726,1.8800000000283035
14.599847,1,0,0,0,1523.66537,-0.009999999974752427
14.799845,1,0,0,0,1523.66537,-0.009999999974752427
14.999843,1,0,0,0,1523.66367,-1.7100000000027649
15.19984,1,0,0,0,1523.66367,-1.7100000000027649
15.399838,1,0,0,0,1523.66556,0.18000000000029104
15.599836,1,0,0,0,1523.66726,1.8800000000283035
15.799834,1,0,0,0,1523.66556,0.18000000000029104
15.999832,1,0,0,0,1523.66726,1.8800000000283035
16.19983,1,0,0,0,1523.66726,1.8800000000283035
16.399828,1,0,0,0,1523.66726,1.8800000000283035
16.599826,1,0,0,0,1523.66367,-1.7100000000027649
16.799824,1,0,0,0,1523.66556,0.18000000000029104
16.999822,1,0,0,0,1523.66537,-0.009999999974752427
17.19982,1,0,0,0,1523.66556,0.18000000000029104
17.399817,1,0,0,0,1523.66537,-0.009999999974752427
17.599815,1,0,0,0,1523.66178,-3.6000000000058208
17.799813,1,0,0,0,1523.66367,-1.7100000000027649
17.999811,1,0,0,0,1523.66537,-0.009999999974752427
18.199809,1,0,0,0,1523.66537,-0.009999999974752427
18.399807,1,0,0,0,1523.66725,1.870000000053551
18.599805,1,0,0,0,1523.66348,-1.8999999999778083
18.799803,1,0,0,0,1523.66556,0.18000000000029104
18.999801,1,0,0,0,1523.66348,-1.8999999999778083
19.199799,1,0,0,0,1523.66386,-1.5199999998003477
19.399796,1,0,0,0,1523.66537,-0.009999999974752427
19.599794,1,0,0,0,1523.66537,-0.009999999974752427
19.799792,1,0,0,0,1523.66537,-0.009999999974752427
19.99979,1,0,0,0,1523.66537,-0.009999999974752427
20.199788,1,0,0,0,1523.66367,-1.7100000000027649
20.399786,1,0,0,0,1523.66367,-1.7100000000027649
20.599784,1,0,0,0,1523.66367,-1.7100000000027649
20.799782,1,0,0,0,1523.66726,1.8800000000283035
20.99978,1,0,0,0,1523.66367,-1.7100000000027649
21.199778,1,0,0,0,1523.66537,-0.009999999974752427
21.399776,1,0,0,0,1523.66367,-1.7100000000027649
21.599773,1,0,0,0,1523.66556,0.18000000000029104
21.799771,1,0,0,0,1523.66367,-1.7100000000027649
21.999769,1,0,0,0,1523.66726,1.8800000000283035
22.199767,1,0,0,0,1523.66367,-1.7100000000027649
22.399765,1,0,0,0,1523.66367,-1.7100000000027649
22.599763,1,0,0,0,1523.66537,-0.009999999974752427
22.799761,1,0,0,0,1523.66348,-1.8999999999778083
22.999759,1,0,0,0,1523.66348,-1.8999999999778083
23.199757,1,0,0,0,1523.66556,0.18000000000029104
23.399755,1,0,0,0,1523.66556,0.18000000000029104
23.599753,1,0,0,0,1523.66348,-1.8999999999778083
23.799751,1,0,0,0,1523.66367,-1.7100000000027649
23.999748,1,0,0,0,1523.66367,-1.7100000000027649
24.199746,1,0,0,0,1523.66348,-1.8999999999778083
24.399744,1,0,0,0,1523.66178,-3.6000000000058208
24.599742,1,0,0,0,1523.66367,-1.7100000000027649
24.79974,1,0,0,0,1523.66178,-3.6000000000058208
24.999738,1,0,0,0,1523.66178,-3.6000000000058208
25.199736,1,0,0,0,1523.66178,-3.6000000000058208
25.399734,1,0,0,0,1523.66367,-1.7100000000027649
25.599731,1,0,0,0,1523.66178,-3.6000000000058208
25.79973,1,0,0,0,1523.66008,-5.2999999998064595
25.999727,1,0,0,0,1523.66367,-1.7100000000027649
26.199725,1,0,0,0,1523.66178,-3.6000000000058208
26.399723,1,0,0,0,1523.66178,-3.6000000000058208
26.599721,1,0,0,0,1523.66178,-3.6000000000058208
26.799719,1,0,0,0,1523.66556,0.18000000000029104
26.999717,1,0,0,0,1523.66178,-3.6000000000058208
27.199715,1,0,0,0,1523.66367,-1.7100000000027649
27.399713,1,0,0,0,1523.66348,-1.8999999999778083
27.59971,1,0,0,0,1523.66367,-1.7100000000027649
27.799708,1,0,0,0,1523.66367,-1.7100000000027649
27.999707,1,0,0,0,1523.66178,-3.6000000000058208
28.199704,1,0,0,0,1523.66537,-0.009999999974752427
28.399702,1,0,0,0,1523.6599,-5.479999999806751
28.5997,1,0,0,0,1523.66348,-1.8999999999778083
28.799698,1,0,0,0,1523.66556,0.18000000000029104
28.999696,1,0,0,0,1523.66367,-1.7100000000027649
29.199694,1,0,0,0,1523.66348,-1.8999999999778083
29.399692,1,0,0,0,1523.66348,-1.8999999999778083
29.59969,1,0,0,0,1523.66178,-3.6000000000058208
29.799688,1,0,0,0,1523.6616,-3.780000000006112
29.999686,1,0,0,0,1523.66348,-1.8999999999778083
30.199683,1,0,0,0,1523.66178,-3.6000000000058208
30.399681,1,0,0,0,1523.66178,-3.6000000000058208
30.599679,1,0,0,0,1523.66178,-3.6000000000058208
30.799677,1,0,0,0,1523.6616,-3.780000000006112
30.999675,1,0,0,0,1523.66178,-3.6000000000058208
31.199673,1,0,0,0,1523.66009,-5.289999999831707
31.399671,1,0,0,0,1523.66179,-3.5899999998036947
31.599669,1,0,0,0,1523.6599,-5.479999999806751
31.799667,1,0,0,0,1523.66179,-3.5899999998036947
31.999665,1,0,0,0,1523.66179,-3.5899999998036947
32.199662,1,0,0,0,1523.66179,-3.5899999998036947
32.39966,1,0,0,0,1523.66179,-3.5899999998036947
32.599658,1,0,0,0,1523.66368,-1.6999999998006388
32.799656,1,0,0,0,1523.66368,-1.6999999998006388
32.999654,1,0,0,0,1523.66179,-3.5899999998036947
33.199652,1,0,0,0,1523.6599,-5.479999999806751
33.39965,1,0,0,0,1523.66179,-3.5899999998036947
33.599648,1,0,0,0,1523.6599,-5.479999999806751
33.799646,1,0,0,0,1523.6599,-5.479999999806751
33.999644,1,0,0,0,1523.66179,-3.5899999998036947
34.199641,1,0,0,0,1523.66179,-3.5899999998036947
34.39964,1,0,0,0,1523.66179,-3.5899999998036947
34.599637,1,0,0,0,1523.66179,-3.5899999998036947
34.799635,1,0,0,0,1523.66368,-1.6999999998006388
34.999633,1,0,0,0,1523.66179,-3.5899999998036947
35.199631,1,0,0,0,1523.66179,-3.5899999998036947
35.399629,1,0,0,0,1523.66538,0.0
35.599627,1,0,0,0,1523.66179,-3.5899999998036947
35.799625,1,0,0,0,1523.66179,-3.5899999998036947
35.999623,1,0,0,0,1523.6599,-5.479999999806751
36.199621,1,0,0,0,1523.6582,-7.179999999834763
36.399619,1,0,0,0,1523.6599,-5.479999999806751
36.599617,1,0,0,0,1523.6599,-5.479999999806751
36.799614,1,0,0,0,1523.66179,-3.5899999998036947
36.999612,1,0,0,0,1523.66179,-3.5899999998036947
37.19961,1,0,0,0,1523.6599,-5.479999999806751
37.399608,1,0,0,0,1523.6616,-3.780000000006112
37.599606,1,0,0,0,1523.66179,-3.5899999998036947
37.799604,1,0,0,0,1523.66179,-3.5899999998036947
37.999602,1,0,0,0,1523.66179,-3.5899999998036947
38.1996,1,0,0,0,1523.66179,-3.5899999998036947
38.399598,1,0,0,0,1523.66349,-1.890000000003056
38.599596,1,0,0,0,1523.66179,-3.5899999998036947
38.799593,1,0,0,0,1523.66349,-1.890000000003056
38.999591,1,0,0,0,1523.66349,-1.890000000003056
39.199589,1,0,0,0,1523.66179,-3.5899999998036947
39.399587,1,0,0,0,1523.6599,-5.479999999806751
39.599585,1,0,0,0,1523.6599,-5.479999999806751
39.799583,1,0,0,0,1523.66179,-3.5899999998036947
39.999581,1,0,0,0,1523.66179,-3.5899999998036947
40.199579,1,0,0,0,1523.66368,-1.6999999998006388
40.399577,1,0,0,0,1523.66179,-3.5899999998036947
40.599575,1,0,0,0,1523.66179,-3.5899999998036947
40.799572,1,0,0,0,1523.6599,-5.479999999806751
40.99957,1,0,0,0,1523.66179,-3.5899999998036947
41.199568,1,0,0,0,1523.66179,-3.5899999998036947
41.399566,1,0,0,0,1523.66009,-5.289999999831707
41.599564,1,0,0,0,1523.6599,-5.479999999806751
41.799562,1,0,0,0,1523.66179,-3.5899999998036947
41.99956,1,0,0,0,1523.66179,-3.5899999998036947
42.199558,1,0,0,0,1523.66179,-3.5899999998036947
42.399556,1,0,0,0,1523.6599,-5.479999999806751
42.599554,1,0,0,0,1523.66349,-1.890000000003056
42.799552,1,0,0,0,1523.6599,-5.479999999806751
42.999549,1,0,0,0,1523.6599,-5.479999999806751
43.199547,1,0,0,0,1523.6599,-5.479999999806751
43.399545,1,0,0,0,1523.6599,-5.479999999806751
43.599543,1,0,0,0,1523.6599,-5.479999999806751
43.799541,1,0,0,0,1523.66179,-3.5899999998036947
43.999539,1,0,0,0,1523.66368,-1.6999999998006388
44.199537,1,0,0,0,1523.6599,-5.479999999806751
44.399535,1,0,0,0,1523.66179,-3.5899999998036947
44.599533,1,0,0,0,1523.66179,-3.5899999998036947
44.799531,1,0,0,0,1523.66179,-3.5899999998036947
44.999528,1,0,0,0,1523.66179,-3.5899999998036947
45.199527,1,0,0,0,1523.66179,-3.5899999998036947
45.399524,1,0,0,0,1523.66009,-5.289999999831707
45.599522,1,0,0,0,1523.66179,-3.5899999998036947
45.79952,1,0,0,0,1523.66179,-3.5899999998036947
45.999518,1,0,0,0,1523.6599,-5.479999999806751
46.199516,1,0,0,0,1523.6599,-5.479999999806751
46.399514,1,0,0,0,1523.66009,-5.289999999831707
46.599512,1,0,0,0,1523.66179,-3.5899999998036947
46.79951,1,0,0,0,1523.6599,-5.479999999806751
46.999507,1,0,0,0,1523.66179,-3.5899999998036947
47.199506,1,0,0,0,1523.66179,-3.5899999998036947
47.399503,1,0,0,0,1523.66179,-3.5899999998036947
47.599501,1,0,0,0,1523.6599,-5.479999999806751
47.799499,1,0,0,0,1523.66179,-3.5899999998036947
47.999497,1,0,0,0,1523.6599,-5.479999999806751
48.199495,1,0,0,0,1523.66179,-3.5899999998036947
48.399493,1,0,0,0,1523.66368,-1.6999999998006388
48.599491,1,0,0,0,1523.66179,-3.5899999998036947
