Rank,Cycle,Time,Measured ΔλB,Predicted ΔλB,Absolute Error
1,4,120.198754,288.6999999998352,8.293566,280.40643424971313
2,4,120.998745,222.36999999995533,24.064442,198.30555831904712
3,4,120.398751,218.5899999999492,25.31509,193.27490982050585
4,4,118.59877,209.32999999990898,28.001522,181.3284779357
5,4,120.798747,209.32999999990898,30.141764,179.1882363127752
6,4,121.198743,209.32999999990898,30.520597,178.80940254202324
7,4,121.798737,209.32999999990898,31.0888,178.24119956961113
8,4,120.598749,205.54999999990287,31.467773,174.08222656240287
9,4,121.598739,196.29999999983738,36.139824,160.16017608626316
10,4,121.998735,188.9299999998002,39.547897,149.38210266093301
11,4,119.398762,181.5599999999904,39.87783,141.6821694946193
12,4,121.398741,181.5599999999904,41.169,140.39100128172868
13,4,118.798768,174.18999999995322,40.990356,133.19964355464072
14,4,119.59876,164.92999999991298,43.68436,121.24563949576259
15,4,118.198774,152.07999999984168,45.78685,106.29315002425574
16,4,119.798758,143.00999999977648,47.03357,95.97643066383898
17,4,119.998756,143.00999999977648,47.126137,95.88386321999133
18,4,122.198733,139.4199999999728,48.349117,91.07088272092005
19,4,119.198764,135.63999999996668,47.172176,88.46782363888269
20,4,118.398772,128.4699999998793,47.135612,81.33438751208632
